X,Y,, 
"2,51995","0,14399",,
"2,52","0,14231",,
"2,52005","0,14034",,
"2,5201","0,1389",,
"2,52015","0,13694",,
"2,5202","0,13504",,
"2,52025","0,13366",,
"2,5203","0,13169",,
"2,52035","0,13004",,
"2,5204","0,1289",,
"2,52045","0,12734",,
"2,5205","0,12585",,
"2,52055","0,12432",,
"2,5206","0,12275",,
"2,52065","0,1218",,
"2,5207","0,12",,
"2,52075","0,11889",,
"2,5208","0,11773",,
"2,52085","0,11618",,
"2,5209","0,11521",,
"2,52095","0,11384",,
"2,521","0,11269",,
"2,52105","0,11128",,
"2,5211","0,11044",,
"2,52115","0,10926",,
"2,5212","0,10796",,
"2,52125","0,10698",,
"2,5213","0,10599",,
"2,52135","0,10483",,
"2,5214","0,10384",,
"2,52145","0,10305",,
"2,5215","0,10204",,
"2,52155","0,10098",,
"2,5216","0,10006",,
"2,52165","0,09909",,
"2,5217","0,09837",,
"2,52175","0,09734",,
"2,5218","0,09643",,
"2,52185","0,0954",,
"2,5219","0,0948",,
"2,52195","0,09377",,
"2,522","0,09297",,
"2,52205","0,09197",,
"2,5221","0,09163",,
"2,52215","0,09059",,
"2,5222","0,08978",,
"2,52225","0,08887",,
"2,5223","0,08842",,
"2,52235","0,08763",,
"2,5224","0,08695",,
"2,52245","0,08608",,
"2,5225","0,08549",,
"2,52255","0,08488",,
"2,5226","0,0842",,
"2,52265","0,08359",,
"2,5227","0,08292",,
"2,52275","0,08217",,
"2,5228","0,08142",,
"2,52285","0,08068",,
"2,5229","0,08025",,
"2,52295","0,07991",,
"2,523","0,07902",,
"2,52305","0,07852",,
"2,5231","0,07793",,
"2,52315","0,07726",,
"2,5232","0,0771",,
"2,52325","0,07641",,
"2,5233","0,07585",,
"2,52335","0,07537",,
"2,5234","0,07461",,
"2,52345","0,07419",,
"2,5235","0,07345",,
"2,52355","0,07313",,
"2,5236","0,07252",,
"2,52365","0,07222",,
"2,5237","0,07149",,
